ID,image_name,temperature,humidity,sun_light,soil_moist,API_health,API_water,API_water_def,soil_moist
1,2025-08-02T12:42:32_1,22.64,72.15,69540.0,testing,,,,35.63
2,2025-08-02T12:42:52_2,22.54,71.17,69540.0,testing,,,,33.89
3,2025-08-02T12:43:08_3,22.5,71.23,69540.0,testing,,,,28.65
4,2025-08-02T12:43:22_4,22.49,71.36,69540.0,testing,,,,30.68
5,2025-08-02T12:44:06_5,22.44,71.7,69540.0,testing,,,,32.22
6,2025-08-02T12:44:29_6,22.41,72.19,69540.0,testing,,,,32.89
7,2025-08-02T12:44:49_7,22.41,71.55,69540.0,testing,,,,27.90
8,2025-08-02T12:46:23_8,22.56,71.62,83448.0,testing,,,,39.96
9,2025-08-02T12:46:40_9,22.48,71.43,83448.0,testing,,,,34.52
10,2025-08-02T12:46:53_10,22.41,71.36,83448.0,testing,,,,38.81
